"","DriverGender","DriverMaritalStatus","DriverAge","Fault","VehicleCategory","VehiclePrice","FraudFound","Deductible","DaysPolicyAccident","DaysPolicyClaim","PastNumberOfClaims","AgeOfVehicle","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","NumberOfCars","IncidentYear","BasePolicy","VehOrigin"
"10864","Male","Married",37,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"10865","Male","Single",26,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","5 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"10866","Male","Single",26,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"10867","Female","Single",35,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10868","Male","Married",58,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"10869","Male","Married",43,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"10872","Male","Married",57,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1994","Liability","Japan"
"10874","Male","Married",40,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10876","Female","Married",33,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"10877","Male","Married",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","Yes","No","External","none","1 vehicle","1994","Collision","Japan"
"10879","Male","Married",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10880","Male","Married",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"10881","Male","Single",22,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","6 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","Japan"
"10882","Male","Single",18,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","none","2 years","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"10883","Male","Single",27,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"10884","Male","Single",27,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"10885","Female","Married",33,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"10887","Male","Single",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","3 to 5","1 vehicle","1995","Collision","Japan"
"10888","Male","Married",53,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1996","Liability","Japan"
"10889","Male","Single",30,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10890","Male","Married",65,"Policy Holder","Sedan","20000 to 29000",1,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"10891","Male","Single",33,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1995","All Perils","Japan"
"10893","Male","Married",44,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"10894","Male","Married",46,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"10895","Male","Married",44,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"10897","Male","Single",26,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","7 years","No","Yes","External","3 to 5","1 vehicle","1995","Collision","Japan"
"10898","Female","Single",29,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"10900","Male","Single",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"10902","Male","Single",27,"Policy Holder","Sport","20000 to 29000",0,"700","more than 30","more than 30","more than 4","7 years","Yes","No","External","none","1 vehicle","1995","Liability","Japan"
"10903","Female","Married",51,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"10904","Male","Married",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1995","Collision","Japan"
"10905","Male","Married",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","4 years","No","No","External","none","1 vehicle","1995","Collision","Japan"
"10906","Male","Married",37,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","Collision","Japan"
"10907","Male","Married",43,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"10908","Female","Married",34,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","Liability","Japan"
"10909","Male","Married",27,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"10910","Female","Single",45,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","Japan"
"10911","Male","Married",29,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"10912","Male","Married",60,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10913","Female","Single",31,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","3 to 5","1 vehicle","1995","Liability","Japan"
"10914","Female","Single",28,"Policy Holder","Sedan","less than 20000",1,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"10915","Male","Single",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","1 to 2","1 vehicle","1995","Liability","Japan"
"10916","Male","Married",52,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","2 vehicles","1994","Liability","Japan"
"10917","Male","Married",35,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","3 to 5","1 vehicle","1995","All Perils","Japan"
"10918","Female","Single",27,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","1 to 2","1 vehicle","1996","Liability","Japan"
"10919","Male","Married",29,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10920","Male","Single",35,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"10921","Male","Married",68,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","2 vehicles","1996","Liability","Japan"
"10922","Male","Single",29,"Policy Holder","Sedan","20000 to 29000",0,"500","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"10923","Female","Single",34,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1996","Liability","Japan"
"10924","Male","Married",60,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1996","Collision","Japan"
"10926","Male","Married",39,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"10927","Female","Married",39,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"10929","Male","Single",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","4 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10932","Male","Married",78,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","1 vehicle","1996","All Perils","Japan"
"10933","Male","Married",57,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"10935","Male","Married",32,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"10936","Male","Married",33,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"10937","Male","Married",28,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10940","Male","Married",48,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","3 to 5","1 vehicle","1996","Liability","Japan"
"10941","Male","Married",37,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1996","Collision","Japan"
"10942","Male","Married",71,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","1 vehicle","1995","Liability","Japan"
"10943","Male","Married",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"10945","Male","Married",63,"Third Party","Sedan","more than 69000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1995","All Perils","Japan"
"10946","Male","Married",46,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"10947","Male","Married",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"10948","Male","Married",36,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","Japan"
"10949","Female","Single",38,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1994","Liability","Japan"
"10950","Male","Married",28,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","Collision","Japan"
"10951","Male","Single",21,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10952","Male","Married",39,"Policy Holder","Sedan","20000 to 29000",0,"400","15 to 30","more than 30","1","7 years","Yes","No","External","none","1 vehicle","1994","Collision","Japan"
"10954","Female","Single",27,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"10955","Male","Married",41,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1996","Collision","Japan"
"10956","Male","Married",43,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","3 to 4","1995","All Perils","Japan"
"10957","Male","Married",53,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","3 to 5","1 vehicle","1996","Liability","Japan"
"10958","Male","Married",43,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"10960","Male","Married",48,"Policy Holder","Sport","30000 to 39000",0,"500","more than 30","more than 30","more than 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"10961","Male","Married",30,"Policy Holder","Sport","20000 to 29000",0,"400","15 to 30","more than 30","1","5 years","No","No","External","3 to 5","1 vehicle","1994","Liability","Japan"
"10962","Male","Married",36,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"10963","Male","Married",47,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","Collision","Japan"
"10965","Female","Single",31,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"10968","Male","Married",76,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10969","Male","Married",29,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"10971","Male","Married",52,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"10972","Male","Single",41,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"10973","Male","Single",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1994","Collision","Japan"
"10975","Male","Single",30,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10976","Male","Single",21,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"10977","Male","Married",43,"Policy Holder","Sedan","more than 69000",1,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"10978","Male","Single",23,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","1","5 years","No","No","Internal","none","1 vehicle","1994","Liability","Japan"
"10979","Male","Single",21,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"10981","Male","Single",26,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","Collision","Japan"
"10982","Male","Married",33,"Policy Holder","Sport","20000 to 29000",0,"500","8 to 15","more than 30","none","7 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"10983","Male","Married",43,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","Yes","Yes","External","none","1 vehicle","1994","Collision","Japan"
"10984","Male","Married",51,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"10985","Male","Single",32,"Policy Holder","Sedan","20000 to 29000",0,"500","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"10986","Male","Married",42,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1994","Liability","Japan"
"10987","Male","Married",29,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"10988","Male","Married",32,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"10989","Male","Married",30,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"10991","Male","Single",32,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"10992","Male","Married",64,"Policy Holder","Sedan","30000 to 39000",1,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"10993","Male","Single",28,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","Internal","none","1 vehicle","1994","Collision","Japan"
"10994","Male","Married",31,"Policy Holder","Sedan","more than 69000",0,"400","more than 30","more than 30","1","5 years","No","No","External","more than 5","1 vehicle","1996","All Perils","Japan"
"10995","Female","Single",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"10996","Male","Single",29,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","1 to 2","1 vehicle","1995","All Perils","Japan"
"10997","Male","Married",41,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"11000","Male","Married",47,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"11004","Male","Married",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","4 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"11005","Male","Married",29,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1994","All Perils","Japan"
"11006","Male","Single",33,"Third Party","Sedan","30000 to 39000",0,"700","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"11007","Male","Married",57,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1994","Liability","Japan"
"11008","Male","Married",40,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","2 vehicles","1994","All Perils","Japan"
"11009","Male","Single",35,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1996","Collision","Japan"
"11011","Male","Single",34,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"11012","Male","Single",22,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"11013","Male","Single",33,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","none","1 vehicle","1996","Collision","Japan"
"11014","Female","Married",49,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","1 to 2","2 vehicles","1995","All Perils","Japan"
"11016","Male","Married",57,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"11017","Male","Single",18,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","4 years","Yes","No","External","1 to 2","1 vehicle","1994","All Perils","Japan"
"11018","Female","Married",39,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","1","7 years","No","No","Internal","none","1 vehicle","1996","Collision","Japan"
"11021","Male","Married",34,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","more than 5","1 vehicle","1995","Liability","Japan"
"11022","Male","Single",28,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","1","5 years","No","No","External","none","1 vehicle","1996","Collision","Japan"
"11023","Male","Married",49,"Third Party","Sedan","20000 to 29000",0,"400","15 to 30","15 to 30","none","5 years","No","No","External","none","2 vehicles","1996","All Perils","Japan"
"11025","Male","Married",33,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","Liability","Japan"
"11026","Male","Married",51,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Collision","Japan"
"11027","Male","Married",40,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","Japan"
"11030","Male","Married",33,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"11033","Male","Single",45,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"11036","Male","Married",30,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"11037","Male","Married",47,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","none","2 vehicles","1994","Liability","Japan"
"11038","Female","Married",37,"Third Party","Sport","more than 69000",0,"400","more than 30","more than 30","1","7 years","No","No","External","1 to 2","1 vehicle","1994","Liability","Japan"
"11040","Male","Single",20,"Third Party","Sedan","30000 to 39000",0,"400","more than 30","more than 30","more than 4","4 years","No","No","External","3 to 5","1 vehicle","1994","All Perils","Japan"
"11042","Male","Single",31,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","5 years","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"11043","Male","Married",57,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1996","Collision","Japan"
"11044","Male","Married",30,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","7 years","No","No","External","none","1 vehicle","1994","All Perils","Japan"
"11045","Male","Married",47,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","1","more than 7","No","No","External","none","2 vehicles","1996","Collision","Japan"
"11046","Male","Single",31,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","Liability","Japan"
"11047","Female","Single",33,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","3 to 4","1994","Collision","Japan"
"11049","Male","Married",42,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"11050","Male","Married",60,"Third Party","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","1 to 2","1 vehicle","1996","Liability","Japan"
"11053","Female","Single",48,"Third Party","Sedan","less than 20000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"11054","Male","Single",27,"Third Party","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"11055","Male","Single",31,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","1","7 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"11056","Male","Single",45,"Policy Holder","Sedan","20000 to 29000",0,"400","8 to 15","15 to 30","1","5 years","No","No","External","none","1 vehicle","1995","Collision","Japan"
"11058","Male","Single",40,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","External","more than 5","1 vehicle","1994","Collision","Japan"
"11059","Male","Single",33,"Policy Holder","Sedan","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","7 years","No","No","Internal","more than 5","1 vehicle","1995","Collision","Japan"
"11060","Male","Single",29,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","4 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"11061","Male","Single",35,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","6 years","No","No","External","none","1 vehicle","1996","All Perils","Japan"
"11063","Male","Single",45,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","3 to 5","1 vehicle","1994","Liability","Japan"
"11065","Male","Single",29,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","1 to 2","1 vehicle","1996","Collision","Japan"
"11066","Female","Widow",39,"Policy Holder","Sport","less than 20000",0,"400","more than 30","more than 30","more than 4","7 years","No","No","External","more than 5","1 vehicle","1996","Liability","Japan"
"11068","Male","Single",61,"Third Party","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","more than 7","No","No","External","3 to 5","1 vehicle","1995","All Perils","Japan"
"11069","Male","Single",28,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","1","6 years","No","No","External","none","2 vehicles","1994","Liability","Japan"
"11070","Female","Single",34,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1994","Liability","Japan"
"11072","Female","Married",35,"Policy Holder","Sedan","20000 to 29000",0,"400","more than 30","more than 30","none","6 years","No","No","External","none","1 vehicle","1994","Collision","Japan"
"11073","Male","Single",24,"Policy Holder","Sport","more than 69000",0,"400","more than 30","more than 30","none","2 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
"11074","Male","Married",47,"Policy Holder","Sport","less than 20000",0,"400","more than 30","more than 30","more than 4","more than 7","No","No","External","none","1 vehicle","1994","Liability","Japan"
"11076","Male","Single",35,"Policy Holder","Sedan","more than 69000",0,"500","more than 30","more than 30","2 to 4","6 years","No","No","External","1 to 2","1 vehicle","1996","Collision","Japan"
"11077","Male","Married",47,"Policy Holder","Sedan","less than 20000",0,"400","more than 30","more than 30","2 to 4","more than 7","No","No","External","more than 5","1 vehicle","1995","Collision","Japan"
"11078","Male","Married",33,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","more than 4","6 years","No","No","External","more than 5","3 to 4","1996","Liability","Japan"
"11079","Male","Married",47,"Policy Holder","Sedan","20000 to 29000",0,"500","more than 30","more than 30","none","more than 7","No","No","External","none","1 vehicle","1995","All Perils","Japan"
"11080","Male","Married",47,"Policy Holder","Sport","30000 to 39000",0,"400","more than 30","more than 30","2 to 4","more than 7","Yes","No","External","none","1 vehicle","1994","Liability","Japan"
"11082","Female","Married",44,"Policy Holder","Sport","20000 to 29000",0,"400","more than 30","more than 30","2 to 4","5 years","No","No","External","none","1 vehicle","1995","Liability","Japan"
